#Año,Tipo,Presupuesto,Concepto,Descripción,Crédito
2018,I,P,11200,Impuesto Bienes Inmuebles Naturaleza Rústica,500
2018,I,P,11300,Impto. sobre Bienes Inmuebles de Naturaleza Urbana,9150000
2018,I,P,11500,Impuesto sobre Vehículos de Tracción Mecánica,725000
2018,I,P,11600,Impuesto sobre el Incremento de Valor de los Terrenos de Nat,2500000
2018,I,P,13000,Impuesto sobre Actividades Económicas. Actividades Empresari,1010000
2018,I,P,29000,"Impuesto sobre Construcciones, Instalaciones y Obras",1300000
2018,I,P,30200,Tasas por recogida de basuras y residuos sólidos urbanos,720000
2018,I,P,31300,Tasas por serv. deportiv:enseñanzas especiales y actividades,0
2018,I,P,31302,"Tasas padle, tenis, frontenis y scuash",83000
2018,I,P,31303,Tasas cesión canchas,12000
2018,I,P,31304,Tasas cuotas abono instalaciones,95000
2018,I,P,32100,Licencias urbanísticas,354818
2018,I,P,32200,Licencias de primera ocupación,248000
2018,I,P,32500,Tasa por expedición de documentos,6000
2018,I,P,32700,Licencias de apertura de establecimientos,24000
2018,I,P,32900,Tasa por apertura anual de piscinas de uso colectivo,23000
2018,I,P,33200,"Tasa por util. priv o aprov esp:suelo, vuelo y subsuelo",300000
2018,I,P,33400,Tasa por apertura de calas y zanjas,3000
2018,I,P,33500,Tasa por ocupación de la vía pública con terrazas,44000
2018,I,P,33600,Tasa por o.v.p. con suspensión temporal del tráfico rodado,3000
2018,I,P,33700,Tasa por aprovechamiento del vuelo (grúas),5000
2018,I,P,33800,Compensación Telefónica de España S.A.,95000
2018,I,P,33900,Tasa por ocupación de vía pública,48000
2018,I,P,33902,Tasas de retirada de vehículos (grúas),7000
2018,I,P,33903,Tasa por cesión de instalaciones en dominio público,27000
2018,I,P,33904,Tasas de o.v.p. con puestos y barracas,9000
2018,I,P,34200,Precios públicos. Escuela de Idiomas,320000
2018,I,P,34201,Precios públicos escuela infantil,192000
2018,I,P,34202,Precios públicos. Escuela de Música y Danza,300000
2018,I,P,34203,Precios públicos. Cursos y Actividades.,25000
2018,I,P,34300,Precios públicos por prestación de servicio en Deportes,310000
2018,I,P,34400,Precios públicos por asistencia a espectáculos,95000
2018,I,P,34900,Precios públicos por publicidad en Revista Municipal y otros,25000
2018,I,P,34901,Precios públicos por casa de juventud,49000
2018,I,P,34902,Precios públicos por servicio de bodas,15000
2018,I,P,34904,Precios públicos por transporte escolar,17000
2018,I,P,34906,Precios públicos Suministro Agua huertos urbanos,4000
2018,I,P,34907,Precios públicos Talleres Servicios Sociales,21000
2018,I,P,38900,Reintegros de Presupuestos Cerrados,1000
2018,I,P,39100,Multas por infracciones urbanísticas,6000
2018,I,P,39103,Sanciones medioambientales,10000
2018,I,P,39120,Multas por infracciones de la Ordenanza de Circulación.,135000
2018,I,P,39190,Otras multas y sanciones,36000
2018,I,P,39200,Recargo por declaración extemporánea sin requer. previo,6000
2018,I,P,39211,Recargo de apremio,125000
2018,I,P,39300,Intereses de demora,70000
2018,I,P,39901,Otros ingresos diversos,0
2018,I,P,39902,Otros recargos. Costas.,4000
2018,I,P,39903,Otros ingresos. Recogida selectiva de envases,67500
2018,I,P,39904,Otros ingresos. Fondo reposición arbolado,0
2018,I,P,39905,Otros Ingresos diversos. Recogidas RAEE,500
2018,I,P,42000,Participación en los tributos del Estado,4680000
2018,I,P,45060,Transferencia corrientes Comunidad de Madrid,938200
2018,I,P,46301,Transferencias corrientes de Mancomunidades,109000
2018,I,P,51801,Intereses de anticipos y préstamos al personal,500
2018,I,P,52100,Intereses de depósitos,3000
2018,I,P,53410,Dividendos de Sociedades,100000
2018,I,P,54900,Otras rentas de bienes inmuebles,87000
2018,I,P,55000,Concesiones administrativas de contraprestación periódica,280600
2018,I,P,55001,Concesiones adtivas. contraprestación periódica (bares),13650
2018,I,P,55200,Concesiones y aprovechamientos. Derechos de superficie.,307500
2018,I,P,60000,Venta de Solares,0
2018,I,P,61900,Venta de Inmuebles,100000
2018,I,P,75060,Otras transferiencias de Capital en cumpl convenios CA,133450
2018,I,P,77000,Transferencias de Capital Empresas Privas,2302906
2018,I,P,83000,Reintegro de préstamos del personal,82000
2018,I,P,91300,Préstamos recibidos largo plazo,0
