#Año,Tipo,Presupuesto,Concepto,Descripción,Crédito
2011,I,E,91301,PRESTAMOS RECIBIDOS A LARGO PLAZO,0
2011,I,E,87010,PARA GASTOS CON FINANCIACIÓN AFECTADA.,0
2011,I,E,83000,REINTEGRO DE PAGAS ANTICIPADAS AL PERSONAL FUNCIONARIO,68022.02
2011,I,E,75000,SUB AFECTAS A LA AMORTIZACIÓN DE PRÉST Y OPERACIONES FRAS,309631.6
2011,I,E,72000,"DEL ESTADO, PLANES PROVINCIALES",510438.05
2011,I,E,55200,Concesiones y aprovechamientos. Derechos de superficie.,266344.32
2011,I,E,55001,Concesiones adtivas. contraprestación periódica (bares),25483.7
2011,I,E,55000,Concesiones administrativas de contraprestación periódica,219063.83
2011,I,E,52100,INTERESES DE DEPOSITOS,43069.11
2011,I,E,51801,Intereses de anticipos y prestamos al personal,446.54
2011,I,E,47000,TRANSFERENCIAS DE EMPRESAS PRIVADAS,139458.01
2011,I,E,46301,TRANSFERENCIAS CORRIENTES DE MANCOMUNIDADES,111892.51
2011,I,E,45000,Participación en los tributos de la Comunidad Autónoma,1805727.06
2011,I,E,42001,Otras transferencias de la Admon. General del Estado,56879
2011,I,E,42000,Participación en los tributos del Estado,3734773.26
2011,I,E,39902,Otros recargos. Costas.,60432.34
2011,I,E,39901,Otros ingresos diversos,136059.37
2011,I,E,39800,Indemnizaciones de seguros de no vida,33333.32
2011,I,E,39300,INTERESES DE DEMORA,138096.5
2011,I,E,39211,RECARGO DE APREMIO.,279440.28
2011,I,E,39200,RECARGO POR DECLARACIÓN EXTEMPORÁNEA SIN REQUERIMI. PREVIO,61294.01
2011,I,E,39190,Otras multas y sanciones,6304
2011,I,E,39120,Multas por infracciones de la Ordenanza de Circulación.,168723
2011,I,E,39103,Sanciones medioambientales,31155.93
2011,I,E,39100,Multas por infracciones urbanísticas,79686.64
2011,I,E,38900,REINTEGROS DE PRESUPUESTOS CERRADOS,5439.1
2011,I,E,34905,Precios públicos por gabinete psicológico,10910
2011,I,E,34904,Precios públicos por transporte escolar,63383.25
2011,I,E,34903,Precios públicos libro de Torrelodones,1335
2011,I,E,34902,Precios públicos por servicio de bodas,36817.25
2011,I,E,34901,Precios públicos por casa de juventud,9012
2011,I,E,34900,Precios públicos por publicidad en Revista Municipal,56031.05
2011,I,E,34400,Precios públicos por asistencia a espectáculos,50780
2011,I,E,34301,Precios públicos. Expedición de carnets deportes,0
2011,I,E,34300,Precios públicos por prestación de servicio en Deportes,150963.18
2011,I,E,34203,Precios públicos. Cursos y Actividades.,118561.36
2011,I,E,34202,Precios públicos. Escuela de Música y Danza,237945.37
2011,I,E,34201,Precios públicos escuela infantil,295669.69
2011,I,E,34200,Precios públicos. Escuela de Idiomas,319296.64
2011,I,E,33904,Tasas de o.v.p. con puestos y barracas,16882.15
2011,I,E,33903,Tasa por cesión de instalaciones en dominio público,7147.32
2011,I,E,33902,Tasas de retirada de vehículos (grúas),10198.15
2011,I,E,33900,Otras tasas por ocupación de vía pública,11585.25
2011,I,E,33800,Otros aprovechamientos especiales compensación Telefónica,99416.14
2011,I,E,33700,Tasa por aprovechamiento del vuelo (grúas),5562
2011,I,E,33600,Tasa por o.v.p. con suspensión temporal del tráfico rodado,10089.7
2011,I,E,33500,Tasa por ocupación de la vía pública con terrazas,27400
2011,I,E,33400,Tasa por apertura de calas y zanjas,2831.9
2011,I,E,33200,Tasa por utilizacion priv. o aprov. especial empresas sumin.,276046.16
2011,I,E,33100,Tasa de entrada de vehículos,96651.2
2011,I,E,33003,TASA POR VADOS Y RESERVAS EN LA VIA PUBLICA,6212.65
2011,I,E,32900,Tasa por apertura anual de piscinas de uso colectivo,7290.7
2011,I,E,32700,Licencias de apertura de establecimientos,28809.07
2011,I,E,32500,Tasa por expedición de documentos,6438.5
2011,I,E,32200,Licencias de primera ocupación,342867.04
2011,I,E,32100,Tasas por concesión de licencias urbanísticas,192411.52
2011,I,E,31305,TASAS PISCINA CUBIERTA,254938.27
2011,I,E,31304,TASAS CUOTAS ABONO INSTALACIONES,93701.93
2011,I,E,31303,TASAS CENSIÓN CANCHAS,0
2011,I,E,31302,"TASAS PADEL, TENIS, FRONTENIS Y SQUASH",34232.3
2011,I,E,31301,TASAS DE ENTRADAS EN PISCINAS DESCUBIERTAS,13779.65
2011,I,E,31300,TASAS ENSEÑANZAS ESPECIALES Y ACTIVIDADES,293526.68
2011,I,E,31199,OTROS SERVICIOS ASISTENCIALES,0
2011,I,E,30900,Tasas concesiones cementerio municipal,0
2011,I,E,30200,Tasas por recogida de basuras y residuos sólidos urbanos,689917.79
2011,I,E,29000,"Impuesto sobre Construcciones, Instalaciones y Obras",-124257.63
2011,I,E,17100,RECARGO PROVINCIAL SOBRE I.A.E.,54.65
2011,I,E,13000,Impuesto sobre actividades económicas,2358956.93
2011,I,E,11600,Impuesto sobre incremento del valor de los terrenos,3979992.39
2011,I,E,11500,Impuesto sobre Vehículos de Tracción Mecánica,1483187.36
2011,I,E,11400,Impto. sobre Bienes Inmuebles Características Especiales,0
2011,I,E,11300,Impto. sobre Bienes Inmuebles de Naturaleza Urbana,8935353.59
2011,I,E,11200,IMPTO SOBRE BIENES INMUEBLES. BIENES INMUEB DE NAT RÚSTICA,366.46
