#Año,Tipo,Presupuesto,Programa,Económica,Descripción,Inicial
2017,G,P,0110,31001,Intereses Operaciones de Tesorería,40000
2017,G,P,0110,31004,Intereses DEXIA SABADELL préstamo 2008 nº 36154507,5500
2017,G,P,0110,31005,Intereses BANESTO préstamo 2008 nº 489103,1600
2017,G,P,0110,31020,Intereses Caja Madrid nº 9.315.551/13- Inv. 2.004,5000
2017,G,P,0110,31021,Intereses refinanciación deuda BBVA-BCL,171420
2017,G,P,0110,35900,Otros gastos financieros,5000
2017,G,P,0110,91304,Amortización DEXIA SABADELL préstamo 2008 nº 36154507,140000
2017,G,P,0110,91305,Amortización BANESTO préstamo 2008 nº 489103,93000
2017,G,P,0110,91320,Amortización Caja Madrid nº 9.315.551/13-Inv. 2004,221450
2017,G,P,0110,91321,Amortización refinanciación deuda BBVA-BCL,338820
2017,G,P,1320,12001,Retribuciones básicas. Sueldos del Grupo A2,15000
2017,G,P,1320,12003,Retribuciones básicas. Sueldos del Grupo C1,14000
2017,G,P,1320,12004,Retribuciones básicas. Sueldos del Grupo C2,435000
2017,G,P,1320,12006,Retribuciones básicas. Trienios,65000
2017,G,P,1320,12100,Retribuciones complementarias. Complemento de destino,221500
2017,G,P,1320,12101,Retribuciones complementarias. Complemento específico,855000
2017,G,P,1320,14300,Otro personal,1
2017,G,P,1320,15000,Complemento de productividad,406000
2017,G,P,1320,15100,Gratificaciones,33400
2017,G,P,1320,16000,Seguridad Social. Personal Funcionario,623500
2017,G,P,1320,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,1320,20200,Arrendamiento de edificios y otras construcciones,10800
2017,G,P,1320,20400,Arrendamiento material de transporte,27000
2017,G,P,1320,21400,Reparación y mantenimiento material de transporte,12000
2017,G,P,1320,22100,Suministro energía eléctrica,172500
2017,G,P,1320,22103,Combustibles y carburantes,20000
2017,G,P,1320,22104,Vestuario,15000
2017,G,P,1320,22199,Otros suministros,3400
2017,G,P,1320,22601,Atenciones protocolarias y representativas,1700
2017,G,P,1320,22603,Publicación en diarios oficiales,4000
2017,G,P,1320,22699,Otros gastos diversos,4000
2017,G,P,1320,22700,Limpieza y aseo,26560
2017,G,P,1320,22799,Otros trabajos realizados por otras empresas y profesionales,47000
2017,G,P,1320,62300,"Maquinaria, instalaciones y utillaje",15000
2017,G,P,1330,20000,Arrendamiento de terrenos y bienes naturales,60000
2017,G,P,1330,20300,Alquiler 19,18000
2017,G,P,1330,22799,Otros trabajos realizados por otras empresas y profesionales,10000
2017,G,P,1330,61900,Otras inversiones de reposición de infraestructuras y bienes,460000
2017,G,P,1330,62300,"Maquinaria, instalaciones y utillaje",25000
2017,G,P,1350,13000,Retribuciones básicas,85000
2017,G,P,1350,13001,Horas extraordinarias,6000
2017,G,P,1350,13002,Otras remuneraciones,9300
2017,G,P,1350,13010,Productividad,4300
2017,G,P,1350,14300,Otro personal,24750
2017,G,P,1350,16000,Seguridad Social. Personal Funcionario,8500
2017,G,P,1350,16001,Seguridad Social. Personal Laboral,33000
2017,G,P,1350,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,1350,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,1350,21300,"Reparación, mantenimiento y conservación. Maquinaria, instal",40000
2017,G,P,1350,21400,"Reparaciones, mantenimiento y conservación. Material de tran",4000
2017,G,P,1350,21600,Reparaciones y mantenimiento equipamiento proces. Informá.,3025
2017,G,P,1350,22000,Material de oficina no inventariable,100
2017,G,P,1350,22001,"Prensa , revistas, libros y otras publicaciones",150
2017,G,P,1350,22103,Combustibles y carburantes,3000
2017,G,P,1350,22104,Vestuario,7000
2017,G,P,1350,22105,Productos alimenticios,4200
2017,G,P,1350,22106,Productos farmacéuticos y material sanitario,500
2017,G,P,1350,22199,Otros suministros,5000
2017,G,P,1350,22699,Otros gastos diversos,500
2017,G,P,1350,22799,Otros trabajos realizados por otras empresas y profesionales,30000
2017,G,P,1350,62300,"Maquinaria, instalaciones y utillaje",87500
2017,G,P,1360,22501,Tributos de las Comunidades Autónomas,720000
2017,G,P,1510,12000,Retribuciones básicas. Sueldos del Grupo A1,34200
2017,G,P,1510,12001,Retribuciones básicas. Sueldos del Grupo A2,43900
2017,G,P,1510,12003,Retribuciones básicas. Sueldos del Grupo C1,34200
2017,G,P,1510,12006,Retribuciones básicas. Trienios,21700
2017,G,P,1510,12100,Retribuciones complementarias. Complemento de destino,64100
2017,G,P,1510,12101,Retribuciones complementarias. Complemento específico,105400
2017,G,P,1510,14300,Otro personal,39700
2017,G,P,1510,15000,Complemento de productividad,64900
2017,G,P,1510,15100,Gratificaciones,7000
2017,G,P,1510,16000,Seguridad Social. Personal Funcionario,109550
2017,G,P,1510,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,1510,21200,Reparación y mantenimiento edificios y otras construc.,160000
2017,G,P,1510,22610,Indemnizaciones por responsabilidad patrimonial,120000
2017,G,P,1510,22706,Estudios y trabajos técnicos,421500
2017,G,P,1510,22799,Otros trabajos realizados por otras empresas y profesión.,100000
2017,G,P,1510,60000,Inversiones en terrenos,841000
2017,G,P,1510,62300,"Maquinaria, instalaciones y utillaje",11000
2017,G,P,1533,13000,Retribuciones básicas,248000
2017,G,P,1533,13001,Horas extraordinarias,20150
2017,G,P,1533,13002,Otras remuneraciones,15100
2017,G,P,1533,13010,Productividad personal laboral,42700
2017,G,P,1533,14300,Otro personal laboral,48000
2017,G,P,1533,16001,Seguridad social. Personal Laboral,113500
2017,G,P,1533,16300,Formación y perfec. Personal laboral,250
2017,G,P,1533,20300,Arrendamiento maqui. Instal. utillaje,9000
2017,G,P,1533,20400,Arrendamiento material de transporte,35000
