#Sección,b,c,Periodo,Fecha,NIF Beneficiario,Beneficiario,Tipo de Adjudicación,Descripción,Importe,Origen
Atención al vecino,,,1T,2019-01-01,,Campillo Nevado S.A.,,Folletos flyers acciones participación ciudadana ,415.03,
Atención al vecino,,,1T,2019-01-01,,"Publicidad Comercial 2004, S.L.",,Reparto circulares vecinos Urbanización Los Robles acciones Ayuntamiento,215.99,
Atención al vecino,,,1T,2019-02-26,,Publicube S.L.,," Mantenimiento panel gestion, módulos línea ciudadana y APP movil 03/18 al 12/18",3755.84,
Atención al vecino,,,1T,2019-02-26,,Publicube S.L.,,"Mantenimiento panel gestión, módulos linea ciudadana y App móvil Febrero 2019",375.58,
Atención al vecino,,,1T,2010-02-27,,Publicube S.L.,,"Mantenimiento panel gestion, módulos línea ciudadana y App móvil Enero 2019",375.58,
Atención al vecino,,,1T,2010-02-26,,"Publicidad Comercial 2004, S.L.",,Reparto circular vecinos Urbanización Los Robles acciones Ayuntamiento,215.99,
Atención al vecino,,,1T,2019-03-25,,"Publicidad Comercial 2004, S.L.",,Reparto circular vecinos de La Colonia acciones Ayuntamiento,300.08,
Atención al vecino,,,1T,2010-02-18,,Universidad Carlos III,,Pago primer y segundo plazo 2018 Convenio Coop. Universidad Carlos III Mediación vecinal,12000,
Atención al vecino,,,1T,2019-02-18,,Universidad Carlos III,,"Pago tercer plazo 2018 - diferencia 433,36 Convenio Coop. Universidad Carlos III Mediación vecinal",5566.64,
Alcaldía,,,1T,2019-03-25,,ALMONACID LAMELAS VICTOR,, CHARLAS FORMATIVAS GESTION INTERNA DEL CAMBIO EN EL AYTO EL 28/02/19 Y EL 01/03/19,2353,
Alcaldía,,,1T,2019-02-15,,LOSANA ARRIBAS S.L.,,COPIA LLAVES.,5.85,
Alcaldía,,,1T,2019-02-15,,LOSANA ARRIBAS S.L.,,COPIA DE LLAVES,3.9,
Alcaldía,,,1T,2019-02-15,,CRISTALERIA TORRELODONES S.A.,,COPIA DE LLAVES.,1.69,
Alcaldía,,,1T,2019-02-15,,SABA APARCAMIENTOS S.A ,,PARKING JORNADA CIUDAD Y SALUD.,36.55,
Alcaldía,,,1T,2019-02-15,,EMC-UTE,,PARKING CONAMA. MEDIO AMBIENTE JORNADA RADON,8.3,
Alcaldía,,,1T,2019-02-15,,EMC-UTE,,PARKING CONAMA. MEDIO AMBIENTE JORNADA RADON,8.7,
Alcaldía,,,1T,2019-02-15,,PRETESER 98 S.L.,,APARCAMIENTO FESTIVAL DE OTOÑO.,7.3,
Alcaldía,,,1T,2019-02-15,,ALSEPARK S.L.,,APARCAMIENTO REUNION CAM.,7.05,
Alcaldía,,,1T,2019-02-15,,AVANZA LARREA ,,BUS AL FESTIVAL DE OTOÑO.,3.6,
Alcaldía,,,1T,2019-02-15,,AVANZA LARREA ,,BUS AL FESTIVAL DE OTOÑO.,3.6,
Alcaldía,,,1T,2019-02-15,,AVANZA LARREA ,,"BUS RED DE TEATROS,",3.6,
Alcaldía,,,1T,2019-02-15,,AVANZA LARREA ,,BUS RED DE TEATROS,3.6,
Alcaldía,,,1T,2019-02-15,,AVANZA LARREA ,,BUS RED DE TEATROS,3.6,
Alcaldía,,,1T,2019-02-15,,DEPORTES DANIEL BRAVO S.L.,,PLACA CONMEMORATIVA.,48.4,
Alcaldía,,,1T,2019-02-15,,ARTE FLORAL IRIS,,FLORES DESPEDIDA CORO VAL-CARRERES.,45,
Alcaldía,,,1T,2019-02-19,,CANDIDO VALVERDE S.L.,,DESPLAZAMIENTO Y PROGRAMACION DE CENTRAL HORARIA DEL RELOJ DEL AYTO ,280.72,
Alcaldía,,,1T,2019-02-20,,JOYEROS Y TROFEOS DEPORTIVOS ALEGRE S.L.,,PLACA CONMEMORATIVA CON GRABADO DEDICATORIA Y ESCUDO,840.95,
Alcaldía,,,1T,2019-02-27,,RED DE CIUDADES POR LA BILICLETA,,CUOTA ANUAL DE SOCIO 2019,600,
Alcaldía,,,1T,2019-02-27,,FEDERACION ESPAÑOLA DE MUNICIPIOS Y PROVINCIAS - FEMP,,CUOTA ASOCIADO FEMP 2019,1302.11,
Alcaldía,,,1T,2019-02-27,,FEDERACION ESPAÑOLA DE MUNICIPIOS Y PROVINCIAS - FEMP,,CUOTA EXTRA XII PLENO FEMP 2019,208.15,
Alcaldía,,,1T,2019-03-25,,INNHOSPHERE S.L.,,SOPORTE Y MANTENIMIENTO DEL PORTAL DE TRANSPARENCIA PRIMERA TRIMESTRALIDAD,1815,
Alcaldía,,,1T,2019-03-25,,FEDERACION ESPAÑOLA DE MUNICIPIOS Y PROVINCIAS - FEMP,,CUOTA RED TRANSPARENCIA Y PARTICIPACION 2019,1500,
Alcaldía,,,1T,2019-02-15,,RENFE VIAJEROS S.A.,,GASTOS TRANSPORTE A AULA LIBERA.TREN DE IDA.,3.4,
Alcaldía,,,1T,2019-02-15,,RENFE VIAJEROS S.A.,,GASTOS TRANSPORTE A AULA LIBERA. TREN DE VUELTA.,3.4,
Alcaldía,,,1T,2019-02-26,,GRUPO MUNICIPAL SOCIALISTA TORRELODONES (PSOE),,ASIGNACION GRUPO MUNICIPAL PSOE MESES ENERO A MAYO DE 2019.,1500,
Alcaldía,,,1T,2019-02-26,,GRUPO MUNICIPAL DEL PARTIDO POPULAR DE TORRELODONES,,ASIGNACION GRUPO MUNICIPAL PP DE LOS MESES DE ENERO A MAYO DE 2019.,1750,
Alcaldía,,,1T,2019-03-08,,GRUPO MUNICIPAL CONFLUENCIA CIUDADANA EN TORRELODONES,,ASIGNACION AL GRUPO MUNICIPAL 2019 MESES ENERO A MAYO.,1500,
Administración General,,,1T,2019-01-24,,ALQUIBER QUALITY SA,,ALQUILER VEHICULO 8707KKT RENAULT ZOE ZOE LIFE MES DICIEMBRE 2018,629.2,
Administración General,,,1T,2019-02-26,,ALQUIBER QUALITY SA,,ALQUILER VEHICULO 8707KKT RENAULT ZOE ZOE LIFE MES ENERO 2019,629.2,
Administración General,,,1T,2019-03-25,,ALQUIBER QUALITY SA,,ALQUILER VEHICULO 8707KKT RENAULT ZOE ZOE LIFE MES FEBRERO 2019,629.2,
Administración General,,,1T,2019-01-23,,CYRASA SEGURIDAD SL,, INSTALACION DE EQUIPO DE SEGURIDAD,145.2,
Administración General,,,1T,2019-01-23,,CYRASA SEGURIDAD SL,,INSTALACION Y DESMONTAJE DE CAMARAS PARA LAS FIESTAS CASA CULTURA,676.39,
Administración General,,,1T,2019-01-24,,"ELECNOR, S.A",,SERVICIO MANTENIMIENTO EDIFICIOS MUNICIPALES MES DICIEMBRE 2018,3480.97,
Administración General,,,1T,2019-01-29,,CYRASA SEGURIDAD SL,, CUOTA ANUAL MANTENIMIENTO CENTRAL ALARMAS EDIFICIOS VARIOS,6443.15,
Administración General,,,1T,2019-02-26,,"ELECNOR, S.A",,SERVICIO MANTENIMIENTO EDIFICIOS MUNICIPALES MES ENERO 2019,3480.97,
Administración General,,,1T,2019-01-23,,"ALMEIDA GOMEZ, AZUCENA",,GASTOS ITV PARA VEHICULO 4187FZL DE SERVICIOS GENERALES. NOTIFICADORAS.,70,
Administración General,,,1T,2019-02-19,,TALLERES MECANICOS GONZALEZ,,REPARACION VEHICULO RENAULT CLIO MATRICULA 4187FZL,229.94,
Administración General,,,1T,2019-02-26,,CENTROS DE LIMPIEZA SERCAR SL,, SERVICIOS LAVADO DE COCHES (COMPLETO),122,
Administración General,,,1T,2019-02-26,,CENTROS DE LIMPIEZA SERCAR SL,,"SERVICIOS LAVADO DE COCHES (COMPLETO) MATRICULAS 0335KPB, 7457KPB, 9050HJK Y 6689DPY EL 07/",120,
Administración General,,,1T,2019-03-25,,CENTROS DE LIMPIEZA SERCAR SL,,LAVADO DE COCHE (COMPLETO) MATRICULA 8707KKT EL DIA 14/02/19,21,
Administración General,,,1T,2019-01-01,,OFIPAPEL CENTER SL,,SUMINISTRO MATERIAL DE OFICINA PARA ESCUELA DE IDIOMAS,644.51,
Administración General,,,1T,2019-01-01,,OFIPAPEL CENTER SL,,SUMINISTRO MATERIAL OFICINA PARTIDO POPULAR,61.2,
Administración General,,,1T,2019-01-01,,OFIPAPEL CENTER SL,,SUMINISTRO MATERIAL OFICINA (CAMARA WEB) TESORERIA,36.54,
Administración General,,,1T,2019-01-01,,OFIPAPEL CENTER SL,,SUMINISTRO MATERIAL OFICINA URBANISMO,348.86,
Administración General,,,1T,2019-01-29,,OFIPAPEL CENTER SL,,SUMINISTRO MATERIAL OFICINA SECRETARÍA,51.5,
Administración General,,,1T,2019-01-29,,OFIPAPEL CENTER SL,,SUMINISTRO MATERIAL OFICINA MEDIO AMBIENTE,208.1,
Administración General,,,1T,2019-01-29,,OFIPAPEL CENTER SL,,MATERIAL OFICINA SECRETARIA,71.61,
Administración General,,,1T,2019-02-19,,OFIPAPEL CENTER SL,,SUMINISTRO PARAGUERO Y PAPELERA PARA SECRETARÍA,44.33,
Administración General,,,1T,2019-03-08,,OFIPAPEL CENTER SL,,SUMINISTRO MATERIAL DE OFICINA PARA ESCUELA DE IDIOMAS,94.26,
Administración General,,,1T,2019-03-08,,OFIPAPEL CENTER SL,,SUMINISTRO MATERIAL OFICINA CIUDADANOS,35.96,
Administración General,,,1T,2019-03-25,,OFIPAPEL CENTER SL,,SUMINISTRO GRAPADORAS PARA URBANISMO,45.59,
Administración General,,,1T,2019-03-25,,OFIPAPEL CENTER SL,,SUMINISTRO MATERIAL OFICINA PARA JUZGADO DE PAZ,107.34,
Administración General,,,1T,2019-03-08,,OFIPAPEL CENTER SL,,SUMINISTRO PAPEL A4 RECICLADO ESCUELA INFANTIL ARDILLAS,35.73,
Administración General,,,1T,2019-01-15,,IBERDROLA CLIENTES SAU,,CONTRATO 622185068 PERIODO 14/11/18 A 13/12/18 EDIF MUNICIPALES,583.99,
Administración General,,,1T,2019-01-15,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 363506925 PERIODO 14/11/18 A 13/12/18  EDIF MUNICIPALES,421.62,
Administración General,,,1T,2019-01-15,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 348106282 PERIODO 19/11/18 A 13/12/18 CUPS KIOSKO C/ JOSE L,29.58,
Administración General,,,1T,2019-01-15,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 351518009 PERIODO 14/11/18 A 13/12/18 CUPS CASETA TRITURADO,105.9,
Administración General,,,1T,2019-01-15,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 340403731 PERIODO 14/11/18 A 12/12/18 EDIF MUNICIPALES,24.65,
Administración General,,,1T,2019-01-15,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 364708232 PERIODO 14/11/18 A 12/12/18 EDIF MUNICIPALES,367.53,
Administración General,,,1T,2019-01-15,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 492586410 PERIODO 19/11/18 A 17/12/18 EDIF MUNICIPALES,21.36,
Administración General,,,1T,2019-01-15,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 321779186 PERIODO 19/11/18 A 17/12/18 EDIF MUNICIPALES,346.7,
Administración General,,,1T,2019-01-23,,NATURGY IBERIA SA,,CONTRATO 19480376 PERIODO 20/11/18 A 17/12/18  EDIF MUNICIPALES,987.97,
Administración General,,,1T,2019-01-23,,NATURGY IBERIA SA,,CONTRATO 19480122 PERIODO 20/11/18 A 17/12/18  EDIF MUNICIPALES,478.46,
Administración General,,,1T,2019-01-23,,NATURGY IBERIA SA,,CONTRATO 19480307 PERIODO 20/11/18 A 17/12/18 EDIF MUNICIPALES,2712.02,
Administración General,,,1T,2019-02-19,,IBERDROLA CLIENTES SAU,, CONTRATO 650747367 PERIODO 18/01/19 A 18/01/19  CASETA TRITURADO,290.11,
Administración General,,,1T,2019-02-25,,IBERDROLA CLIENTES SAU,, CONTRATO 650747367 PERIODO 17/01/19 A 19/01/19  CAS,7.38,
Administración General,,,1T,2019-02-25,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 321779186 PERIODO 17/12/18 A 13/01/19 ,350.48,
Administración General,,,1T,2019-02-25,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 364708232 PERIODO 12/12/18 A 14/01/19 ,403.86,
Administración General,,,1T,2019-02-25,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 363506925 PERIODO 13/12/18 A 14/01/19 ,289.32,
Administración General,,,1T,2019-02-25,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 351518009 PERIODO 13/12/18 A 17/01/19,111.04,
Administración General,,,1T,2019-02-25,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 492586410 PERIODO 17/12/18 A 19/01/19 ,25.18,
Administración General,,,1T,2019-02-25,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 340403731 PERIODO 12/12/18 A 14/01/19 ,29.16,
Administración General,,,1T,2019-02-25,,IBERDROLA CLIENTES SAU,,CONTRATO 622185068 PERIODO 13/12/18 A 14/01/19 ,844.81,
Administración General,,,1T,2019-02-25,,IBERDROLA CLIENTES SAU,,CONTRATO 623750090 PERIODO 13/12/18 A 14/01/19 ,1863.94,
Administración General,,,1T,2019-02-27,,NATURGY IBERIA SA,,CONTRATO 19480394 PERIODO 15/11/18 A 16/12/18 ,972.08,
Administración General,,,1T,2019-03-07,,NATURGY IBERIA SA,,CONTRATO 19480122 PERIODO 18/12/18 A 16/01/19 ,525.73,
Administración General,,,1T,2019-03-07,,NATURGY IBERIA SA,,CONTRATO 19480307 PERIODO 18/12/18 A 16/01/19 ,2347.21,
Administración General,,,1T,2019-03-07,,NATURGY IBERIA SA,,CONTRATO 19480376 PERIODO 18/12/18 A 16/01/19 ,1127.04,
Administración General,,,1T,2019-03-14,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 348106282 PERIODO 14/01/19 A 13/02/19 ,36.99,
Administración General,,,1T,2019-03-14,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 321779186 PERIODO 13/01/19 A 18/02/19 ,549.04,
Administración General,,,1T,2019-03-14,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 492586305 PERIODO 19/01/19 A 18/02/19,22.89,
Administración General,,,1T,2019-03-14,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 363506925 PERIODO 14/01/19 A 13/02/19 ,544.48,
Administración General,,,1T,2019-03-14,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 340403731 PERIODO 14/01/19 A 13/02/19,26.39,
Administración General,,,1T,2019-03-14,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 492586410 PERIODO 19/01/19 A 17/02/19 ,22.14,
Administración General,,,1T,2019-03-14,,IBERDROLA COMERCIALIZACION DE ULTIMO RECURSO SA,,CONTRATO 364708232 PERIODO 14/01/19 A 13/02/19,335.61,
Administración General,,,1T,2019-03-29,,IBERDROLA CLIENTES SAU,,CONTRATO 649704629 PERIODO 14/01/19 A 06/03/19 ,1460.99,
Administración General,,,1T,2019-03-29,,IBERDROLA CLIENTES SAU,,CONTRATO 650747367 PERIODO 19/01/19 A 06/03/19 ,337.42,
Administración General,,,1T,2019-03-29,,IBERDROLA CLIENTES SAU,,CONTRATO 654410628 PERIODO 26/02/19 A 06/03/19 ,114.05,
Administración General,,,1T,2019-03-29,,NATURGY IBERIA SA,, CONTRATO 19480122 PERIODO 17/01/19  A15/02/19 ,528.18,
Administración General,,,1T,2019-03-29,,NATURGY IBERIA SA,,CONTRATO 19480376 PERIODO 17/01/19 A 15/02/19  ,1176.94,
Administración General,,,1T,2019-03-29,,NATURGY IBERIA SA,, CONTRATO 19480307 PERIODO 17/01/19 A 15/02/19 ,2480.89,
Administración General,,,1T,2019-03-29,,NATURGY IBERIA SA,,CONTRATO 19480394 PERIODO 17/12/18 A 14/01/19 ,963.35,
Administración General,,,1T,2019-03-29,,IBERDROLA CLIENTES SAU,,CONTRATO 654410628 DERECHOS ACCESO Y ENGANCHE ,606.96,
Administración General,,,1T,2019-03-29,,NATURGY IBERIA SA,,  CONTRATO 19480394 PERIODO 15/01/19 A 06/03/19 ,1794.02,
Administración General,,,1T,2019-01-01,,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,,CORREO POSTAL AYUNTAMIENTO MES NOVIEMBRE 2018,1031.78,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 231466854 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES C/ CUDILLERO 6,53.22,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 231450484 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES C/ CUDILLERO 6,56.39,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 231448666 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES C/ CUDILLERO 6 O,64.44,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 127716 PERIODO 16/11/18 A 22/01/19 C/ NTRA SEÑORA DEL CARMEN 10,594.86,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 14743491 PERIODO 16/11/18 A 22/01/19 C/ CARNICERIA 1,21.26,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 39100191 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES,100.27,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 66485315 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES,47.06,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 104566101 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES,924.1,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 121949410 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES,4275.91,
