#Año,Tipo,Presupuesto,Concepto,Descripción,Crédito
2015,I,E,11300,Impto. sobre Bienes Inmuebles de Naturaleza Urbana,10309.83
2015,I,E,11500,Impuesto sobre Vehículos de Tracción Mecánica,711572.93
2015,I,E,11600,Impuesto sobre el Incremento de Valor de los Terrenos de Nat,1292835.14
2015,I,E,13000,Impuesto sobre Actividades Económicas. Actividades Empresari,1137189.72
2015,I,E,29000,"Impuesto sobre Construcciones, Instalaciones y Obras",128340.15
2015,I,E,30200,Tasas por recogida de basuras,718896.97
2015,I,E,31300,Tasas por serv. deportiv:enseñanzas especiales y actividades,65932.23
2015,I,E,31302,"Tasas padle, tenis, frontenis y scuash",3111.95
2015,I,E,31303,Tasas cesión canchas,1150.1
2015,I,E,31304,Tasas cuotas abono instalaciones,17401.75
2015,I,E,32100,Licencias urbanísticas,83025.17
2015,I,E,32200,Licencias de primera ocupación,14960.27
2015,I,E,32500,Tasa por expedición de documentos,2016.33
2015,I,E,32700,Licencias de apertura de establecimientos,19262.12
2015,I,E,33200,"Tasa por util. priv o aprov esp:suelo, vuelo y subsuelo",130127.35
2015,I,E,33500,Tasa por ocupación de la vía pública con terrazas,1728.72
2015,I,E,33600,Tasa por o.v.p. con suspensión temporal del tráfico rodado,550
2015,I,E,33800,Compensación Telefónica de España S.A.,20328.29
2015,I,E,33900,Tasa por ocupación de vía pública,8725.98
2015,I,E,33902,Tasas de retirada de vehículos (grúas),1553.38
2015,I,E,33903,Tasa por cesión de instalaciones en dominio público,13240
2015,I,E,33904,Tasas de o.v.p. con puestos y barracas,764.46
2015,I,E,34200,Precios públicos. Escuela de Idiomas,62170.23
2015,I,E,34201,Precios públicos escuela infantil,60199.24
2015,I,E,34202,Precios públicos. Escuela de Música y Danza,60269.41
2015,I,E,34203,Precios públicos. Cursos y Actividades.,15368.38
2015,I,E,34300,Precios públicos por prestación de servicio en Deportes,30621.83
2015,I,E,34400,Precios públicos por asistencia a espectáculos,15671.98
2015,I,E,34900,Precios públicos por publicidad en Revista Municipal y otros,5971.5
2015,I,E,34901,Precios públicos por casa de juventud,1303
2015,I,E,34902,Precios públicos por servicio de bodas,3976.94
2015,I,E,34904,Precios públicos por transporte escolar,7170
2015,I,E,34906,PRECIO PUBLICO SUMINISTRO AGUA HUERTOS URBANOS,2835
2015,I,E,34907,Precios públicos talleres Servicios Sociales,4912.5
2015,I,E,38900,Reintegros de Presupuestos Cerrados,12228.52
2015,I,E,39100,Multas por infracciones urbanísticas,1200
2015,I,E,39103,Sanciones medioambientales,300
2015,I,E,39120,Multas por infracciones de la Ordenanza de Circulación.,41290
2015,I,E,39190,Otras multas y sanciones,3489.8
2015,I,E,39200,Recargo por declaración extemporánea sin requer. previo,51901.75
2015,I,E,39211,Recargo de apremio,82449.11
2015,I,E,39300,Intereses de demora,23685.15
2015,I,E,39800,Indemnizaciones de seguros de no vida,3074.53
2015,I,E,39901,Otros ingresos diversos,13126.01
2015,I,E,39902,Otros recargos. Costas.,5084.14
2015,I,E,39903,Otros ingresos. Recogida selectiva de envases,42544.26
2015,I,E,39904,Otros ingresos. Fondo reposición arbolado,17099.42
2015,I,E,39905,Otros ingresos diversos. Recogidas RAEE,303.23
2015,I,E,42000,Participación en los tributos del Estado,787933.37
2015,I,E,52100,Intereses de depósitos,6715.34
2015,I,E,53410,Dividendos de Sociedades,88770.44
2015,I,E,55000,Concesiones administrativas de contraprestación periódica,229174.83
2015,I,E,55001,Concesiones adtivas. contraprestación periódica (bares),6876.13
2015,I,E,55200,Concesiones y aprovechamientos. Derechos de superficie.,187916.5
2015,I,E,83000,Reintegro de préstamos del personal,24476.35
